"name","Hour","HIGH","Date/Time"
"BYND","09","37.804901123046875","    2022-05-02 09:55:00-04:00
Name: 5, dtype: object"
"BYND","10","37.9900016784668","    2022-05-02 10:55:00-04:00
Name: 17, dtype: object"
"BYND","11","37.59000015258789","    2022-05-02 11:55:00-04:00
Name: 29, dtype: object"
"BYND","12","37.33000183105469","    2022-05-02 12:55:00-04:00
Name: 41, dtype: object"
"BYND","13","36.56999969482422","    2022-05-02 13:55:00-04:00
Name: 53, dtype: object"
"BYND","14","36.95000076293945","    2022-05-02 14:55:00-04:00
Name: 65, dtype: object"
"BYND","15","38.33000183105469","    2022-05-02 15:55:00-04:00
Name: 77, dtype: object"
"BYND","16","24.3700008392334","    2022-05-20 16:00:00-04:00
Name: 78, dtype: object"
"DDOG","09","123.33999633789062","    2022-05-02 09:55:00-04:00
Name: 5, dtype: object"
"DDOG","10","122.57890319824219","    2022-05-02 10:55:00-04:00
Name: 17, dtype: object"
"DDOG","11","118.99320220947266","    2022-05-02 11:55:00-04:00
Name: 29, dtype: object"
"DDOG","12","120.70999908447266","    2022-05-02 12:55:00-04:00
Name: 41, dtype: object"
"DDOG","13","118.52649688720703","    2022-05-02 13:55:00-04:00
Name: 53, dtype: object"
"DDOG","14","118.30999755859375","    2022-05-02 14:55:00-04:00
Name: 65, dtype: object"
"DDOG","15","120.6500015258789","    2022-05-02 15:55:00-04:00
Name: 77, dtype: object"
"DDOG","16","94.79000091552734","    2022-05-20 16:00:00-04:00
Name: 78, dtype: object"
"FB","09","210.72999572753906","    2022-05-02 09:55:00-04:00
Name: 5, dtype: object"
"FB","10","210.86000061035156","    2022-05-02 10:55:00-04:00
Name: 17, dtype: object"
"FB","11","209.42999267578125","    2022-05-02 11:55:00-04:00
Name: 29, dtype: object"
"FB","12","207.57000732421875","    2022-05-02 12:55:00-04:00
Name: 41, dtype: object"
"FB","13","204.80999755859375","    2022-05-02 13:55:00-04:00
Name: 53, dtype: object"
"FB","14","205.38999938964844","    2022-05-02 14:55:00-04:00
Name: 65, dtype: object"
"FB","15","211.8800048828125","    2022-05-02 15:55:00-04:00
Name: 77, dtype: object"
"FB","16","193.5399932861328","    2022-05-20 16:00:00-04:00
Name: 78, dtype: object"
"NFLX","09","198.60000610351562","    2022-05-02 09:55:00-04:00
Name: 5, dtype: object"
"NFLX","10","200.21409606933594","    2022-05-02 10:55:00-04:00
Name: 17, dtype: object"
"NFLX","11","199.44979858398438","    2022-05-02 11:55:00-04:00
Name: 29, dtype: object"
"NFLX","12","199.4398956298828","    2022-05-02 12:55:00-04:00
Name: 41, dtype: object"
"NFLX","13","196.08999633789062","    2022-05-02 13:55:00-04:00
Name: 53, dtype: object"
"NFLX","14","196.5998992919922","    2022-05-02 14:55:00-04:00
Name: 65, dtype: object"
"NFLX","15","199.66000366210938","    2022-05-02 15:55:00-04:00
Name: 77, dtype: object"
"NFLX","16","186.35000610351562","    2022-05-20 16:00:00-04:00
Name: 78, dtype: object"
"OKTA","09","123.3499984741211","    2022-05-02 09:55:00-04:00
Name: 5, dtype: object"
"OKTA","10","123.31999969482422","    2022-05-02 10:55:00-04:00
Name: 17, dtype: object"
"OKTA","11","121.76000213623047","    2022-05-02 11:55:00-04:00
Name: 29, dtype: object"
"OKTA","12","123.84500122070312","    2022-05-02 12:55:00-04:00
Name: 41, dtype: object"
"OKTA","13","121.69509887695312","    2022-05-02 13:55:00-04:00
Name: 53, dtype: object"
"OKTA","14","121.87999725341797","    2022-05-02 14:55:00-04:00
Name: 65, dtype: object"
"OKTA","15","124.00499725341797","    2022-05-02 15:55:00-04:00
Name: 77, dtype: object"
"OKTA","16","84.22000122070312","    2022-05-20 16:00:00-04:00
Name: 78, dtype: object"
"PINS","09","21.239999771118164","    2022-05-02 09:55:00-04:00
Name: 5, dtype: object"
"PINS","10","21.364999771118164","    2022-05-02 10:55:00-04:00
Name: 17, dtype: object"
"PINS","11","21.40999984741211","    2022-05-02 11:55:00-04:00
Name: 29, dtype: object"
"PINS","12","21.399999618530273","    2022-05-02 12:55:00-04:00
Name: 41, dtype: object"
"PINS","13","21.219999313354492","    2022-05-02 13:55:00-04:00
Name: 53, dtype: object"
"PINS","14","21.489999771118164","    2022-05-02 14:55:00-04:00
Name: 65, dtype: object"
"PINS","15","22.274999618530273","    2022-05-02 15:55:00-04:00
Name: 77, dtype: object"
"PINS","16","22.90999984741211","    2022-05-20 16:00:00-04:00
Name: 78, dtype: object"
"SHOP","09","451.0","    2022-05-02 09:55:00-04:00
Name: 5, dtype: object"
"SHOP","10","448.4200134277344","    2022-05-02 10:55:00-04:00
Name: 17, dtype: object"
"SHOP","11","446.1000061035156","    2022-05-02 11:55:00-04:00
Name: 29, dtype: object"
"SHOP","12","445.989990234375","    2022-05-02 12:55:00-04:00
Name: 41, dtype: object"
"SHOP","13","440.2049865722656","    2022-05-02 13:55:00-04:00
Name: 53, dtype: object"
"SHOP","14","439.5198974609375","    2022-05-02 14:55:00-04:00
Name: 65, dtype: object"
"SHOP","15","454.1400146484375","    2022-05-02 15:55:00-04:00
Name: 77, dtype: object"
"SHOP","16","363.8500061035156","    2022-05-20 16:00:00-04:00
Name: 78, dtype: object"
"SNAP","09","29.540000915527344","    2022-05-02 09:55:00-04:00
Name: 5, dtype: object"
"SNAP","10","29.440000534057617","    2022-05-02 10:55:00-04:00
Name: 17, dtype: object"
"SNAP","11","29.235000610351562","    2022-05-02 11:55:00-04:00
Name: 29, dtype: object"
"SNAP","12","29.440000534057617","    2022-05-02 12:55:00-04:00
Name: 41, dtype: object"
"SNAP","13","28.969999313354492","    2022-05-02 13:55:00-04:00
Name: 53, dtype: object"
"SNAP","14","29.014999389648438","    2022-05-02 14:55:00-04:00
Name: 65, dtype: object"
"SNAP","15","29.540000915527344","    2022-05-02 15:55:00-04:00
Name: 77, dtype: object"
"SNAP","16","23.260000228881836","    2022-05-20 16:00:00-04:00
Name: 78, dtype: object"
"SQ","09","103.06990051269531","    2022-05-02 09:55:00-04:00
Name: 5, dtype: object"
"SQ","10","103.27899932861328","    2022-05-02 10:55:00-04:00
Name: 17, dtype: object"
"SQ","11","102.43990325927734","    2022-05-02 11:55:00-04:00
Name: 29, dtype: object"
"SQ","12","104.21990203857422","    2022-05-02 12:55:00-04:00
Name: 41, dtype: object"
"SQ","13","102.37000274658203","    2022-05-02 13:55:00-04:00
Name: 53, dtype: object"
"SQ","14","102.9749984741211","    2022-05-02 14:55:00-04:00
Name: 65, dtype: object"
"SQ","15","105.97000122070312","    2022-05-02 15:55:00-04:00
Name: 77, dtype: object"
"SQ","16","83.44000244140625","    2022-05-20 16:00:00-04:00
Name: 78, dtype: object"
"TTD","09","61.224998474121094","    2022-05-02 09:55:00-04:00
Name: 5, dtype: object"
"TTD","10","61.349998474121094","    2022-05-02 10:55:00-04:00
Name: 17, dtype: object"
"TTD","11","60.63999938964844","    2022-05-02 11:55:00-04:00
Name: 29, dtype: object"
"TTD","12","60.97990036010742","    2022-05-02 12:55:00-04:00
Name: 41, dtype: object"
"TTD","13","59.939998626708984","    2022-05-02 13:55:00-04:00
Name: 53, dtype: object"
"TTD","14","60.279998779296875","    2022-05-02 14:55:00-04:00
Name: 65, dtype: object"
"TTD","15","62.119998931884766","    2022-05-02 15:55:00-04:00
Name: 77, dtype: object"
"TTD","16","52.63999938964844","    2022-05-20 16:00:00-04:00
Name: 78, dtype: object"
